Vendedor	Produto	Estado	Mês	Cliente	Valor	Quantidade
MURILO	Rodas aro 17"	RO	Dezembro	Pessoa Física	1870	4
ROBERTO	Rodas aro 18"	SC	Março	Pessoa Jurídica	1910	3
MYSLAINE	Rodas aro 19"	ES	Outubro	Pessoa Física	2240	3
KATIA	Rodas aro 20"	CE	Junho	Pessoa Física	2479	108
VANESSA	Rodas aro 21"	RN	Setembro	Pessoa Física	3200	108
RENATA	Rodas aro 22"	SE	Julho	Pessoa Jurídica	3921	108
CAIO	Rodas aro 13"	PA	Setembro	Pessoa Jurídica	780	106
PRISCILA	Rodas aro 14"	DF	Dezembro	Pessoa Jurídica	980	106
MIRIAN	Rodas aro 15"	GO	Julho	Pessoa Física	1020	105
MURILO	Rodas aro 16"	RR	Agosto	Pessoa Jurídica	1340	105
ROBERTO	Rodas aro 17"	TO	Novembro	Pessoa Física	1870	105
MYSLAINE	Rodas aro 18"	CE	Junho	Pessoa Física	1910	104
KATIA	Rodas aro 19"	AL	Setembro	Pessoa Física	2240	104
VANESSA	Rodas aro 20"	MG	Abril	Pessoa Jurídica	2479	102
RENATA	Rodas aro 21"	MG	Outubro	Pessoa Jurídica	3200	100
CAIO	Rodas aro 22"	AP	Maio	Pessoa Jurídica	3921	97
PRISCILA	Rodas aro 13"	RS	Julho	Pessoa Física	780	96
MIRIAN	Rodas aro 14"	SC	Abril	Pessoa Jurídica	980	93
MURILO	Rodas aro 15"	RO	Junho	Pessoa Física	1020	90
ROBERTO	Rodas aro 16"	RS	Outubro	Pessoa Física	1340	90
MYSLAINE	Rodas aro 17"	RO	Abril	Pessoa Física	1870	90
KATIA	Rodas aro 18"	SE	Janeiro	Pessoa Jurídica	1910	89
VANESSA	Rodas aro 19"	RR	Março	Pessoa Jurídica	2240	87
RENATA	Rodas aro 20"	RR	Abril	Pessoa Jurídica	2479	86
CAIO	Rodas aro 21"	MG	Novembro	Pessoa Física	3200	86
PRISCILA	Rodas aro 22"	PE	Fevereiro	Pessoa Jurídica	3921	85
MIRIAN	Rodas aro 13"	BA	Março	Pessoa Física	780	82
MURILO	Rodas aro 14"	AL	Julho	Pessoa Física	980	81
ROBERTO	Rodas aro 15"	MG	Agosto	Pessoa Física	1020	81
MYSLAINE	Rodas aro 16"	MT	Setembro	Pessoa Jurídica	1340	81
KATIA	Rodas aro 17"	BA	Abril	Pessoa Jurídica	1870	76
VANESSA	Rodas aro 18"	PB	Setembro	Pessoa Jurídica	1910	74
RENATA	Rodas aro 19"	PI	Fevereiro	Pessoa Física	2240	74
CAIO	Rodas aro 20"	PE	Junho	Pessoa Jurídica	2479	73
PRISCILA	Rodas aro 21"	PE	Março	Pessoa Física	3200	71
MIRIAN	Rodas aro 22"	AP	Abril	Pessoa Física	3921	69
MURILO	Rodas aro 13"	AM	Julho	Pessoa Física	780	69
ROBERTO	Rodas aro 14"	PB	Março	Pessoa Jurídica	980	65
MYSLAINE	Rodas aro 15"	PB	Outubro	Pessoa Jurídica	1020	64
KATIA	Rodas aro 16"	AP	Julho	Pessoa Jurídica	1340	63
VANESSA	Rodas aro 17"	PB	Maio	Pessoa Física	1870	63
RENATA	Rodas aro 18"	MA	Setembro	Pessoa Jurídica	1910	60
CAIO	Rodas aro 19"	SC	Novembro	Pessoa Física	2240	59
PRISCILA	Rodas aro 20"	RS	Abril	Pessoa Física	2479	58
MIRIAN	Rodas aro 21"	AP	Maio	Pessoa Física	3200	57
MURILO	Rodas aro 22"	MA	Maio	Pessoa Jurídica	3921	54
ROBERTO	Rodas aro 13"	AM	Dezembro	Pessoa Jurídica	780	50
MYSLAINE	Rodas aro 14"	AL	Março	Pessoa Jurídica	980	49
KATIA	Rodas aro 15"	AC	Setembro	Pessoa Física	1020	47
VANESSA	Rodas aro 16"	MS	Março	Pessoa Jurídica	1340	43
RENATA	Rodas aro 17"	PE	Maio	Pessoa Física	1870	42
CAIO	Rodas aro 18"	RN	Julho	Pessoa Física	1910	41
PRISCILA	Rodas aro 19"	RS	Agosto	Pessoa Física	2240	40
MIRIAN	Rodas aro 20"	AL	Janeiro	Pessoa Jurídica	2479	39
MURILO	Rodas aro 21"	AL	Fevereiro	Pessoa Jurídica	3200	38
ROBERTO	Rodas aro 22"	RN	Junho	Pessoa Jurídica	3921	38
MYSLAINE	Rodas aro 13"	AC	Setembro	Pessoa Física	780	38
KATIA	Rodas aro 14"	MS	Março	Pessoa Jurídica	980	37
VANESSA	Rodas aro 15"	RN	Abril	Pessoa Física	1020	35
RENATA	Rodas aro 16"	GO	Outubro	Pessoa Física	1340	34
CAIO	Rodas aro 17"	CE	Julho	Pessoa Física	1870	33
PRISCILA	Rodas aro 18"	RO	Julho	Pessoa Jurídica	1910	33
MIRIAN	Rodas aro 19"	RJ	Abril	Pessoa Jurídica	2240	31
MURILO	Rodas aro 20"	GO	Dezembro	Pessoa Jurídica	2479	28
ROBERTO	Rodas aro 21"	RS	Outubro	Pessoa Física	3200	27
MYSLAINE	Rodas aro 22"	MT	Maio	Pessoa Jurídica	3921	27
KATIA	Rodas aro 13"	AL	Março	Pessoa Física	780	27
VANESSA	Rodas aro 14"	AC	Maio	Pessoa Física	980	23
RENATA	Rodas aro 15"	AP	Setembro	Pessoa Física	1020	21
CAIO	Rodas aro 16"	TO	Março	Pessoa Jurídica	1340	21
PRISCILA	Rodas aro 17"	AC	Março	Pessoa Jurídica	1870	19
MIRIAN	Rodas aro 18"	MA	Setembro	Pessoa Jurídica	1910	19
MURILO	Rodas aro 19"	TO	Junho	Pessoa Física	2240	17
ROBERTO	Rodas aro 20"	BA	Novembro	Pessoa Jurídica	2479	16
MYSLAINE	Rodas aro 21"	AP	Dezembro	Pessoa Física	3200	16
KATIA	Rodas aro 22"	TO	Julho	Pessoa Física	3921	16
VANESSA	Rodas aro 13"	DF	Abril	Pessoa Física	780	15
RENATA	Rodas aro 14"	PE	Junho	Pessoa Jurídica	980	15
CAIO	Rodas aro 15"	AC	Maio	Pessoa Jurídica	1020	14
PRISCILA	Rodas aro 16"	PI	Setembro	Pessoa Jurídica	1340	14
MIRIAN	Rodas aro 17"	MG	Junho	Pessoa Física	1870	13
MURILO	Rodas aro 18"	PE	Novembro	Pessoa Jurídica	1910	12
ROBERTO	Rodas aro 19"	SC	Novembro	Pessoa Física	2240	12
MYSLAINE	Rodas aro 20"	PE	Março	Pessoa Física	2479	11
KATIA	Rodas aro 21"	ES	Abril	Pessoa Física	3200	9
VANESSA	Rodas aro 22"	AC	Abril	Pessoa Jurídica	3921	7
RENATA	Rodas aro 13"	SP	Agosto	Pessoa Jurídica	780	4
CAIO	Rodas aro 14"	MA	Março	Pessoa Jurídica	980	1
PRISCILA	Rodas aro 15"	CE	Fevereiro	Pessoa Física	1020	1
MIRIAN	Rodas aro 16"	MS	Maio	Pessoa Jurídica	1340	1
MURILO	Rodas aro 17"	PI	Agosto	Pessoa Física	1870	110
ROBERTO	Rodas aro 18"	AC	Setembro	Pessoa Física	1910	110
MYSLAINE	Rodas aro 19"	CE	Julho	Pessoa Física	2240	109
KATIA	Rodas aro 20"	GO	Agosto	Pessoa Jurídica	2479	109
VANESSA	Rodas aro 21"	SE	Fevereiro	Pessoa Jurídica	3200	108
RENATA	Rodas aro 22"	SC	Janeiro	Pessoa Jurídica	3921	105
CAIO	Rodas aro 13"	AP	Janeiro	Pessoa Física	780	105
PRISCILA	Rodas aro 14"	RO	Julho	Pessoa Jurídica	980	104
MIRIAN	Rodas aro 15"	GO	Novembro	Pessoa Física	1020	104
MURILO	Rodas aro 16"	PB	Julho	Pessoa Física	1340	104
ROBERTO	Rodas aro 17"	RJ	Dezembro	Pessoa Física	1870	103
MYSLAINE	Rodas aro 18"	RR	Setembro	Pessoa Jurídica	1910	103
KATIA	Rodas aro 19"	RJ	Abril	Pessoa Jurídica	2240	100
VANESSA	Rodas aro 20"	SP	Junho	Pessoa Jurídica	2479	99
RENATA	Rodas aro 21"	SP	Outubro	Pessoa Física	3200	97
CAIO	Rodas aro 22"	MA	Janeiro	Pessoa Jurídica	3921	97
PRISCILA	Rodas aro 13"	SC	Novembro	Pessoa Física	780	93
MIRIAN	Rodas aro 14"	TO	Abril	Pessoa Física	980	93
MURILO	Rodas aro 15"	MA	Janeiro	Pessoa Física	1020	89
ROBERTO	Rodas aro 16"	ES	Março	Pessoa Jurídica	1340	87
MYSLAINE	Rodas aro 17"	BA	Outubro	Pessoa Jurídica	1870	86
KATIA	Rodas aro 18"	AM	Julho	Pessoa Jurídica	1910	86
VANESSA	Rodas aro 19"	AP	Janeiro	Pessoa Física	2240	85
RENATA	Rodas aro 20"	RJ	Julho	Pessoa Jurídica	2479	84
CAIO	Rodas aro 21"	MA	Março	Pessoa Física	3200	84
PRISCILA	Rodas aro 22"	MS	Novembro	Pessoa Física	3921	83
MIRIAN	Rodas aro 13"	ES	Dezembro	Pessoa Física	780	83
MURILO	Rodas aro 14"	MT	Fevereiro	Pessoa Jurídica	980	82
ROBERTO	Rodas aro 15"	AM	Fevereiro	Pessoa Jurídica	1020	82
MYSLAINE	Rodas aro 16"	AC	Dezembro	Pessoa Jurídica	1340	81
KATIA	Rodas aro 17"	AM	Fevereiro	Pessoa Física	1870	80
VANESSA	Rodas aro 18"	GO	Novembro	Pessoa Jurídica	1910	76
RENATA	Rodas aro 19"	MA	Novembro	Pessoa Física	2240	76
CAIO	Rodas aro 20"	MA	Janeiro	Pessoa Física	2479	76
PRISCILA	Rodas aro 21"	AL	Abril	Pessoa Física	3200	75
MIRIAN	Rodas aro 22"	TO	Julho	Pessoa Jurídica	3921	72
MURILO	Rodas aro 13"	RJ	Janeiro	Pessoa Jurídica	780	69
ROBERTO	Rodas aro 14"	RS	Dezembro	Pessoa Jurídica	980	68
MYSLAINE	Rodas aro 15"	GO	Março	Pessoa Física	1020	68
KATIA	Rodas aro 16"	RN	Setembro	Pessoa Jurídica	1340	66
VANESSA	Rodas aro 17"	MG	Junho	Pessoa Física	1870	65
RENATA	Rodas aro 18"	PR	Fevereiro	Pessoa Física	1910	65
CAIO	Rodas aro 19"	MS	Maio	Pessoa Física	2240	65
PRISCILA	Rodas aro 20"	AC	Junho	Pessoa Jurídica	2479	62
MIRIAN	Rodas aro 21"	MA	Maio	Pessoa Jurídica	3200	62
MURILO	Rodas aro 22"	AL	Janeiro	Pessoa Jurídica	3921	60
ROBERTO	Rodas aro 13"	TO	Janeiro	Pessoa Física	780	60
MYSLAINE	Rodas aro 14"	SP	Agosto	Pessoa Jurídica	980	58
KATIA	Rodas aro 15"	RN	Agosto	Pessoa Física	1020	56
VANESSA	Rodas aro 16"	PI	Outubro	Pessoa Física	1340	56
RENATA	Rodas aro 17"	AM	Janeiro	Pessoa Física	1870	55
CAIO	Rodas aro 18"	BA	Abril	Pessoa Jurídica	1910	54
PRISCILA	Rodas aro 19"	ES	Novembro	Pessoa Jurídica	2240	53
MIRIAN	Rodas aro 20"	AL	Fevereiro	Pessoa Jurídica	2479	53
MURILO	Rodas aro 21"	RN	Agosto	Pessoa Física	3200	52
ROBERTO	Rodas aro 22"	MS	Outubro	Pessoa Jurídica	3921	52
MYSLAINE	Rodas aro 13"	TO	Julho	Pessoa Física	780	51
KATIA	Rodas aro 14"	RS	Setembro	Pessoa Física	980	48
VANESSA	Rodas aro 15"	MS	Novembro	Pessoa Física	1020	48
RENATA	Rodas aro 16"	MT	Novembro	Pessoa Jurídica	1340	45
CAIO	Rodas aro 17"	BA	Maio	Pessoa Jurídica	1870	45
PRISCILA	Rodas aro 18"	SC	Março	Pessoa Jurídica	1910	44
MIRIAN	Rodas aro 19"	RO	Março	Pessoa Física	2240	42
MURILO	Rodas aro 20"	SC	Setembro	Pessoa Jurídica	2479	41
ROBERTO	Rodas aro 21"	RR	Dezembro	Pessoa Física	3200	40
MYSLAINE	Rodas aro 22"	MS	Fevereiro	Pessoa Física	3921	38
KATIA	Rodas aro 13"	AP	Dezembro	Pessoa Física	780	35
VANESSA	Rodas aro 14"	SC	Abril	Pessoa Jurídica	980	32
RENATA	Rodas aro 15"	RS	Fevereiro	Pessoa Jurídica	1020	31
CAIO	Rodas aro 16"	PI	Janeiro	Pessoa Jurídica	1340	27
PRISCILA	Rodas aro 17"	MG	Setembro	Pessoa Física	1870	25
MIRIAN	Rodas aro 18"	ES	Junho	Pessoa Jurídica	1910	22
MURILO	Rodas aro 19"	MS	Janeiro	Pessoa Física	2240	21
ROBERTO	Rodas aro 20"	GO	Janeiro	Pessoa Física	2479	20
MYSLAINE	Rodas aro 21"	PA	Outubro	Pessoa Física	3200	17
KATIA	Rodas aro 22"	MS	Maio	Pessoa Jurídica	3921	12
VANESSA	Rodas aro 13"	RO	Janeiro	Pessoa Jurídica	780	12
RENATA	Rodas aro 14"	RS	Maio	Pessoa Jurídica	980	11
CAIO	Rodas aro 15"	RR	Junho	Pessoa Física	1020	11
PRISCILA	Rodas aro 16"	CE	Dezembro	Pessoa Jurídica	1340	10
MIRIAN	Rodas aro 17"	AL	Maio	Pessoa Física	1870	7
MURILO	Rodas aro 18"	TO	Dezembro	Pessoa Física	1910	5
ROBERTO	Rodas aro 19"	SE	Outubro	Pessoa Física	2240	3
MYSLAINE	Rodas aro 20"	MG	Maio	Pessoa Jurídica	2479	2
KATIA	Rodas aro 21"	RN	Julho	Pessoa Jurídica	3200	1
VANESSA	Rodas aro 22"	RJ	Maio	Pessoa Jurídica	3921	110
RENATA	Rodas aro 13"	MT	Agosto	Pessoa Física	780	110
CAIO	Rodas aro 14"	SP	Junho	Pessoa Jurídica	980	110
PRISCILA	Rodas aro 15"	BA	Agosto	Pessoa Física	1020	109
MIRIAN	Rodas aro 16"	AC	Janeiro	Pessoa Física	1340	105
MURILO	Rodas aro 17"	PB	Junho	Pessoa Física	1870	104
ROBERTO	Rodas aro 18"	ES	Outubro	Pessoa Jurídica	1910	104
MYSLAINE	Rodas aro 19"	MG	Agosto	Pessoa Jurídica	2240	103
KATIA	Rodas aro 20"	PR	Janeiro	Pessoa Jurídica	2479	103
VANESSA	Rodas aro 21"	DF	Setembro	Pessoa Física	3200	101
RENATA	Rodas aro 22"	AC	Outubro	Pessoa Jurídica	3921	100
CAIO	Rodas aro 13"	SE	Novembro	Pessoa Física	780	99
PRISCILA	Rodas aro 14"	MT	Junho	Pessoa Física	980	94
MIRIAN	Rodas aro 15"	AC	Fevereiro	Pessoa Física	1020	92
MURILO	Rodas aro 16"	PR	Junho	Pessoa Jurídica	1340	90
ROBERTO	Rodas aro 17"	RR	Dezembro	Pessoa Jurídica	1870	87
MYSLAINE	Rodas aro 18"	RS	Junho	Pessoa Jurídica	1910	87
KATIA	Rodas aro 19"	PA	Janeiro	Pessoa Física	2240	87
VANESSA	Rodas aro 20"	AP	Outubro	Pessoa Jurídica	2479	87
RENATA	Rodas aro 21"	MG	Março	Pessoa Física	3200	86
CAIO	Rodas aro 22"	BA	Agosto	Pessoa Física	3921	86
PRISCILA	Rodas aro 13"	RO	Julho	Pessoa Física	780	85
MIRIAN	Rodas aro 14"	CE	Maio	Pessoa Jurídica	980	81
MURILO	Rodas aro 15"	MT	Janeiro	Pessoa Jurídica	1020	78
ROBERTO	Rodas aro 16"	MG	Março	Pessoa Jurídica	1340	77
MYSLAINE	Rodas aro 17"	SP	Janeiro	Pessoa Física	1870	73
KATIA	Rodas aro 18"	MG	Outubro	Pessoa Jurídica	1910	71
VANESSA	Rodas aro 19"	AM	Novembro	Pessoa Física	2240	70
RENATA	Rodas aro 20"	PA	Dezembro	Pessoa Física	2479	69
CAIO	Rodas aro 21"	GO	Agosto	Pessoa Física	3200	68
PRISCILA	Rodas aro 22"	PA	Abril	Pessoa Jurídica	3921	68
MIRIAN	Rodas aro 13"	RR	Dezembro	Pessoa Jurídica	780	67
MURILO	Rodas aro 14"	SC	Março	Pessoa Jurídica	980	66
ROBERTO	Rodas aro 15"	AM	Abril	Pessoa Física	1020	66
MYSLAINE	Rodas aro 16"	SC	Abril	Pessoa Jurídica	1340	65
KATIA	Rodas aro 17"	RJ	Março	Pessoa Física	1870	64
VANESSA	Rodas aro 18"	MG	Dezembro	Pessoa Física	1910	63
RENATA	Rodas aro 19"	ES	Julho	Pessoa Física	2240	61
CAIO	Rodas aro 20"	PR	Novembro	Pessoa Jurídica	2479	60
PRISCILA	Rodas aro 21"	RJ	Março	Pessoa Jurídica	3200	57
MIRIAN	Rodas aro 22"	AM	Abril	Pessoa Jurídica	3921	56
MURILO	Rodas aro 13"	ES	Setembro	Pessoa Física	780	55
ROBERTO	Rodas aro 14"	GO	Abril	Pessoa Jurídica	980	53
MYSLAINE	Rodas aro 15"	MS	Abril	Pessoa Física	1020	52
KATIA	Rodas aro 16"	PI	Maio	Pessoa Física	1340	51
VANESSA	Rodas aro 17"	CE	Novembro	Pessoa Física	1870	50
RENATA	Rodas aro 18"	RN	Maio	Pessoa Jurídica	1910	47
CAIO	Rodas aro 19"	SE	Abril	Pessoa Jurídica	2240	46
PRISCILA	Rodas aro 20"	MT	Agosto	Pessoa Jurídica	2479	45
MIRIAN	Rodas aro 21"	RR	Setembro	Pessoa Física	3200	45
MURILO	Rodas aro 22"	PA	Setembro	Pessoa Jurídica	3921	44
ROBERTO	Rodas aro 13"	AP	Março	Pessoa Física	780	43
MYSLAINE	Rodas aro 14"	AP	Dezembro	Pessoa Física	980	43
KATIA	Rodas aro 15"	AM	Março	Pessoa Física	1020	41
VANESSA	Rodas aro 16"	PB	Agosto	Pessoa Jurídica	1340	40
RENATA	Rodas aro 17"	MG	Setembro	Pessoa Jurídica	1870	40
CAIO	Rodas aro 18"	PR	Março	Pessoa Jurídica	1910	39
PRISCILA	Rodas aro 19"	PA	Outubro	Pessoa Física	2240	38
MIRIAN	Rodas aro 20"	TO	Dezembro	Pessoa Jurídica	2479	37
MURILO	Rodas aro 21"	AL	Junho	Pessoa Física	3200	36
ROBERTO	Rodas aro 22"	RJ	Novembro	Pessoa Física	3921	36
MYSLAINE	Rodas aro 13"	CE	Maio	Pessoa Física	780	35
KATIA	Rodas aro 14"	CE	Maio	Pessoa Jurídica	980	33
VANESSA	Rodas aro 15"	PA	Janeiro	Pessoa Jurídica	1020	33
RENATA	Rodas aro 16"	MT	Novembro	Pessoa Jurídica	1340	32
CAIO	Rodas aro 17"	ES	Agosto	Pessoa Física	1870	31
PRISCILA	Rodas aro 18"	PI	Dezembro	Pessoa Jurídica	1910	29
MIRIAN	Rodas aro 19"	SP	Fevereiro	Pessoa Física	2240	29
MURILO	Rodas aro 20"	PA	Março	Pessoa Física	2479	28
ROBERTO	Rodas aro 21"	RS	Abril	Pessoa Física	3200	28
MYSLAINE	Rodas aro 22"	AL	Novembro	Pessoa Jurídica	3921	27
KATIA	Rodas aro 13"	CE	Janeiro	Pessoa Jurídica	780	26
VANESSA	Rodas aro 14"	PA	Maio	Pessoa Jurídica	980	26
RENATA	Rodas aro 15"	BA	Maio	Pessoa Física	1020	23
CAIO	Rodas aro 16"	PB	Novembro	Pessoa Jurídica	1340	21
PRISCILA	Rodas aro 17"	AM	Novembro	Pessoa Física	1870	21
MIRIAN	Rodas aro 18"	MT	Abril	Pessoa Física	1910	16
MURILO	Rodas aro 19"	AC	Março	Pessoa Física	2240	15
ROBERTO	Rodas aro 20"	RS	Janeiro	Pessoa Jurídica	2479	15
MYSLAINE	Rodas aro 21"	AL	Março	Pessoa Jurídica	3200	14
KATIA	Rodas aro 22"	MG	Agosto	Pessoa Jurídica	3921	14
VANESSA	Rodas aro 13"	RJ	Agosto	Pessoa Física	780	14
RENATA	Rodas aro 14"	AM	Setembro	Pessoa Jurídica	980	13
CAIO	Rodas aro 15"	BA	Março	Pessoa Física	1020	10
PRISCILA	Rodas aro 16"	PE	Março	Pessoa Física	1340	10
MIRIAN	Rodas aro 17"	DF	Julho	Pessoa Física	1870	9
MURILO	Rodas aro 18"	PR	Março	Pessoa Jurídica	1910	8
ROBERTO	Rodas aro 19"	BA	Abril	Pessoa Jurídica	2240	6
MYSLAINE	Rodas aro 20"	PE	Julho	Pessoa Jurídica	2479	4
KATIA	Rodas aro 21"	PR	Janeiro	Pessoa Física	3200	110
VANESSA	Rodas aro 22"	SC	Setembro	Pessoa Jurídica	3921	110
RENATA	Rodas aro 13"	ES	Fevereiro	Pessoa Física	780	109
CAIO	Rodas aro 14"	RN	Abril	Pessoa Física	980	108
PRISCILA	Rodas aro 15"	ES	Agosto	Pessoa Física	1020	107
MIRIAN	Rodas aro 16"	AM	Novembro	Pessoa Jurídica	1340	106
MURILO	Rodas aro 17"	AL	Agosto	Pessoa Jurídica	1870	104
ROBERTO	Rodas aro 18"	ES	Junho	Pessoa Jurídica	1910	103
MYSLAINE	Rodas aro 19"	ES	Abril	Pessoa Física	2240	101
KATIA	Rodas aro 20"	CE	Setembro	Pessoa Jurídica	2479	101
VANESSA	Rodas aro 21"	SP	Julho	Pessoa Física	3200	100
RENATA	Rodas aro 22"	PB	Junho	Pessoa Física	3921	98
CAIO	Rodas aro 13"	AM	Maio	Pessoa Física	780	97
PRISCILA	Rodas aro 14"	AM	Maio	Pessoa Jurídica	980	96
