Filial	Vendedor	Data	Tipo	Área (m²)	Dorms.	Garag.	Piscina	Preço	Comissão
Sudeste	Simone	14/06/2012	Apartamento	170	4	4	Sim	R$ 470.000,00	R$ 7.050,00
Centro	Simone	15/07/2012	Casa	86	1	0	Não	R$ 245.000,00	R$ 3.675,00
Nordeste	Simone	21/07/2012	Apartamento	130,5	3	1	Não	R$ 377.700,00	R$ 5.665,50
Nordeste	Simone	13/08/2012	Casa	125,5	2	1	Sim	R$ 325.100,00	R$ 4.876,50
Oeste	Simone	17/08/2012	Casa	171	3	3	Não	R$ 395.300,00	R$ 5.929,50
Leste	Simone	29/08/2012	Casa	110	2	1	Sim	R$ 339.000,00	R$ 5.085,00
Oeste	Simone	17/10/2012	Apartamento	149,5	3	2	Não	R$ 402.000,00	R$ 6.030,00
Nordeste	Simone	24/11/2012	Casa	179	3	2	Não	R$ 401.800,00	R$ 6.027,00
Sul	Simone	30/11/2012	Apartamento	89	2	1	Não	R$ 320.900,00	R$ 4.813,50

