Data 	Mês	Ano	Semestre	Estado 	Cidade	Produto	Qtde	Preço	Total
03/02/2011	Fevereiro	2011	1º semestre	São Paulo	SANTO ANDRE	Waxy Maize	10	38	380
02/02/2011	Fevereiro	2011	1º semestre	São Paulo	SANTO ANDRE	Vitamina C	10	12	120
01/02/2011	Fevereiro	2011	1º semestre	São Paulo	SANTO ANDRE	Creatina	12		
31/01/2011	Janeiro	2011	1º semestre	São Paulo	SANTO ANDRE	Maltodextrina	8		
30/01/2011	Janeiro	2011	1º semestre	São Paulo	SANTO ANDRE	Albumina	10	35	420
29/01/2011	Janeiro	2011	1º semestre	São Paulo	SANTO ANDRE	Dextrose	9	12	108
28/01/2011	Janeiro	2011	1º semestre	São Paulo	SANTO ANDRE	Whey Protein	8	327	2616
27/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO BERNARDO DO CAMPO	Glutamina	9	327	2616
26/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO BERNARDO DO CAMPO	ZMA	12	35	420
25/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO BERNARDO DO CAMPO	Waxy Maize	11	38	418
24/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO BERNARDO DO CAMPO	Vitamina C	9	12	108
23/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO BERNARDO DO CAMPO	Creatina	9	12	96
22/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO BERNARDO DO CAMPO	Maltodextrina	9	327	3924
21/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO CAETANO DO SUL	Albumina	9	8	64
20/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO JOSE DOS CAMPOS	Dextrose	11	327	3270
19/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO JOSE DOS CAMPOS	Whey Protein	10	327	3270
18/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO JOSE DOS CAMPOS	Glutamina	8	310	2480
17/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO JOSE DOS CAMPOS	ZMA	11	35	385
16/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO JOSE DOS CAMPOS	Waxy Maize	11	38	418
15/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Vitamina C	11	12	132
14/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Creatina	8	327	3597
13/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Maltodextrina	12	8	64
12/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Albumina	10	12	144
11/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Dextrose	11	35	385
10/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Whey Protein	8	327	2616
09/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Glutamina	12	12	96
08/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	ZMA	10	35	350
07/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Waxy Maize	10	38	380
06/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Vitamina C	12	12	144
05/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Creatina	10	8	88
04/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Maltodextrina	12	8	96
03/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Albumina	12	8	72
02/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Dextrose	12	38	342
01/01/2011	Janeiro	2011	1º semestre	São Paulo	SAO PAULO	Whey Protein	12	327	3924
